timestamp,open,high,low,close,volume
1655884800000.0,1074.7,1075.15,1069.4,1069.45,3843.58
1655885100000.0,1069.45,1076.4,1068.8,1076.0,2190.3
1655885400000.0,1076.0,1080.45,1075.6,1078.1,2968.49
1655885700000.0,1078.1,1081.25,1076.5,1079.25,2120.32
1655886000000.0,1079.25,1081.2,1078.35,1079.2,1942.6
1655886300000.0,1079.2,1080.4,1076.95,1079.35,2343.21
1655886600000.0,1079.35,1081.25,1077.45,1078.25,1724.64
1655886900000.0,1078.25,1080.35,1074.15,1074.85,3723.59
1655887200000.0,1074.85,1076.95,1071.55,1074.3,4139.68
1655887500000.0,1074.3,1078.6,1071.0,1076.2,3051.11
1655887800000.0,1076.2,1080.75,1075.5,1078.2,3062.83
1655888100000.0,1078.2,1082.0,1077.0,1080.8,2660.44
1655888400000.0,1080.8,1088.45,1080.7,1085.85,8882.2
1655888700000.0,1085.85,1086.5,1081.2,1081.35,2295.98
1655889000000.0,1081.35,1085.05,1080.5,1083.6,2459.97
1655889300000.0,1083.6,1086.0,1082.0,1082.0,1637.57
1655889600000.0,1082.0,1082.6,1079.95,1081.1,2371.53
1655889900000.0,1081.1,1081.55,1078.25,1080.05,1881.52
1655890200000.0,1080.05,1087.5,1079.8,1087.4,4235.52
1655890500000.0,1087.4,1097.2,1087.15,1091.0,16040.03
1655890800000.0,1091.0,1094.75,1088.75,1089.45,4077.66
1655891100000.0,1089.45,1093.2,1088.65,1091.15,3262.28
1655891400000.0,1091.15,1093.0,1088.35,1091.3,2130.46
1655891700000.0,1091.3,1091.7,1088.95,1090.8,2265.28
1655892000000.0,1090.8,1091.1,1086.35,1088.8,4593.0
1655892300000.0,1088.8,1093.2,1088.8,1093.0,5485.36
1655892600000.0,1093.0,1095.4,1087.1,1087.8,6821.12
1655892900000.0,1087.8,1089.1,1087.0,1087.95,2003.84
1655893200000.0,1087.95,1089.65,1087.5,1088.55,3675.44
1655893500000.0,1088.55,1090.4,1084.9,1090.4,2580.22
1655893800000.0,1090.4,1092.35,1089.05,1089.05,2171.95
1655894100000.0,1089.05,1092.45,1087.0,1087.75,2379.38
1655894400000.0,1087.75,1089.0,1085.1,1087.0,2199.71
1655894700000.0,1087.0,1088.4,1084.05,1087.45,1920.15
1655895000000.0,1087.45,1092.15,1087.25,1090.95,2147.77
1655895300000.0,1090.95,1090.95,1088.5,1088.9,1084.23
